ID,Titulo,Artista,Album,Genero,Año,Letra,Audio_Path
11,YAH.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"New shit, new Kung Fu Kenny
I got so many theories and suspicions
I'm diagnosed with real nigga conditions
Today is the day I follow my intuition
Keep the family close, get money, fuck bitches
I double-parked the Aston in the red
My momma told me that I'ma work myself to death
My girl told me don't let these hoes get in my head
My world been ecstatic, I checked the signal that read
Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, yah, yah
Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, yah, yah
Interviews wanna know my thoughts and opinions
Fox News wanna use my name for percentage
My latest muse is my niece, she worth livin'
See me on the TV and scream: ""That's Uncle Kendrick!""
Yeah, that's the business (Uno)
Somebody tell Geraldo this nigga got some ambition
I'm not a politician, I'm not 'bout a religion
I'm a Israelite, don't call me black no mo'
That word is only a color, it ain't facts no mo'
My cousin called, my cousin Carl Duckworth
Said know my worth
And Deuteronomy say that we all been cursed
I know He walks the Earth
But it's money to get, bitches to hit, yah
Zeroes to flip, temptation is, yah
First on my list, I can't resist, yah
Everyone together now, know that we forever
Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, yah, yah
Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, yah, yah",audio/03. Kendrick Lamar - YAH..flac
12,Noid,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"Things feel out of order
Look and look around, I'm not sure of
Pair of paranoia, no
I can feel it in my aura
Living between cameras and recorders
I want peace but can't afford ya, no
Running, running, round and round
Someone's keeping watch
I feel them on my shoulder
I can't even buy a home in private
Home invasions got my brothers dying
Notice every car that's driving by
I think my neighbors want me dead
I got a cannon underneath the bed
Triple checking if I locked the door
I know every creak that's in the floor
Muthafucka I am paranoid
I loop around the block, eyes glued to the rear view
Rather double back than regret hearing pew pew
Never trust a bitch
If you good they could trap you
So just strap it up
Before they fuck around and strap you
Someone's in my shadow
Someone's keeping watch
I feel them in my shadow
I can feel it
Don't it seem so good?
Don't it feel so good?
Who's at my window?
Left shoulder, right shoulder, left shoulder, look
No cameras out please
I wanna eat in peace
I don't wanna take pictures with you niggas or bitches
Nervous system is shook, way before 19
LA will do that to you
Where you from nigga, who you?
Satellites, screenshots, paparazzi, NDAs
Privacy? Yeah right, I got a better shot in the NBA
Ain't no respect for nothing
Voice recording our discussions
Her, him, they, them, or anybody
I don't trust em at all
Some pray for my fall
Hearing clicks on the calls
Niggas hacking for some rough drafts
Bitches looking for a buff bag
Risk that for some jaw, naw
You sing along but you don't know me nigga
Naw, never ever, not at all
Ya'll niggas crossed the line like fuck the stop sign
They wanna know where I close my eyes at
I keep my eyes wide
On god, this shit cooked brodie
Look brodie
Hand shakes got me shooked brodie
Niggas want info bout me?
Read a book on me
Baby I'm paranoid
Left shoulder, right shoulder, left shoulder, look
Left shoulder, right shoulder, left shoulder, look
What you want? Leave me alone
Who is at my window
Damn, paranoid","audio/03. Tyler, The Creator - Noid.flac"
13,PERFuMITO NUEVO,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Hoy salí de nuevo, pero
Ya quiero algo nuevo creo
Si me ves por ahí ni me conoce'
Cinderella despué' de las doce
Ya me convertí
Vámonos de aquí
Que me gusta cómo huele'
Y más cómo te mueve'
Dime ya cuándo voy a probar tu perfumito nuevo
La otra vez no te la vi, papi, sé que te la debo
Dime ya cuándo voy a probar tu perfumito nuevo
Hoy estoy pa' ti, ¿qué va' a hacer si me pego?
Acabo de mirar el reloj y son las una y dieciséis
Significa que ya no te vo'a dar break
Sigue mirando así, sigue mirando así, sigue mirando
Que te lo pongo aquí mismo, mmm
Sigue bailando, mami, que te estoy midiendo el ritmo
No parece leo ni escorpio
Pa' mí que ella tiene su propio signo
Fría, sentimental, está en temporada de portarse mal
A vece' es difícil meditar y sólo quiere gritar
O buscarme pa' chingar
Y yo se lo voy a dar a la hora que sea
Si yo bajo pa' allá abajo va a subir la marea
Los ojito' se le marean
Baby, yo vo'a hacer que tú crea'
Ea, diablo, tú ere' una bellaquita igual que yo
Perfumito nuevo, tú huele' cabrón
Por poquito te rompo el mahón
Dime ya cuándo voy a probar tu perfumito nuevo
La otra ve' no te lo di, mami, sé que te la debo
Baby, tú ere' una estrella, esa boca sabe a carambola
Fuego, desde que te vi me puse roja
Con los ojo' me quitaste el traje
Te tengo bailando sin modale' (dale)
Diantre, tú y yo somo' iguale'
Hoy le dimo' y mañana le damo'
De weekend en Coamo
En la montaña te vo'a hacer la rusa, ey
¿Qué cojone'? ¿Qué tú tiene' que me pone en musa?
Mami, tú te ve' bien a mi la'o
Si tú estás, yo no miro pa'l la'o
5-6, me tiene' domina'o
Me imagino contigo pelea'o
Papi, tú te ve' bien a mi la'o
Contigo yo no miro pa'l la'o
5-6, te tengo domina'o
Y todavía no hemo' ni chinga'o
Dime ya",audio/04. Bad Bunny - PERFuMITO NUEVO.flac
14,VETIVER Y AMARETTO,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"No quiero ver que me faltes aquí
Que la tormenta no llegue hasta mí
Me hago un refugio
Con la mano en los ojos me siento mucho más feliz
Mirar yo no quiero
No dejes, que no soy tan fuerte pa' ver
Esos recuerdos que fueron
Los castillos que cayeron
¿Será que yo puedo volver en el tiempo
Y construirlo todo otra vez?
Rígido bloque y cemento
Y si llega el lobo, tal vez
Ahora ya no se lo lleve su aliento
Adicto a tu olor, cerca bailando lento
Vetiver y amaretto, es todo un honor
Verte bajo este cielo, haya lluvia, haya viento
Mi religión, porque yo era ateo
Y de tu agua ahora bebo, mi salvación
Imagino que estoy contigo
Mi delirio, mi descuido, oh
Imagino que estoy contigo
Mi delirio, mi descuido, oh
Imagino que estoy contigo
Mi delirio, mi descuido, oh
Imagino que estoy contigo
Mi delirio, mi descuido, mi suicidio
Y me pone a pensar, por eso me salgo del presente
Off a los demonios de mi mente
Me gusta estar entre tanta gente
Eso me consiente, me distrae
Vamos a ver cómo me va
Ellos me sonrien y me mienten
Eso necesito de repente
Amor artificial
No es tu piel, pero me divierte
No es tu piel, pero es suficiente
Imagino que estoy contigo
Mi delirio, mi descuido, oh
Imagino que estoy contigo
Mi delirio, mi descuido
No quiero ver que me faltes tú aquí
Que la tormenta no llegue hasta mí
Me hago un refugio
Con la mano en los ojos me siento mucho más feliz
Mirar yo no quiero
No dejes, que no soy tan fuerte pa' ver
Esos recuerdos que fueron
Los castillos que cayeron
¿Será que yo puedo volver en el tiempo
Y construirlo todo otra vez?
Rígido bloque y cemento
Si llega el lobo, tal vez
Ahora acabe diferente el cuento
Imagino que estoy contigo
Mi delirio, mi descuido, oh
Imagino que estoy contigo
Mi delirio, mi descuido",audio/04. HUMBE - VETIVER Y AMARETTO.flac
15,ELEMENT.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"New Kung Fu Kenny
Ain't nobody prayin' for me
Y'all know, what happens on Earth stays on Earth
Here we go!
I don't give a f-, I don't give a f-
I don't give a, I don't give a, I don't give a f-
I'm willin' to die for it
I done cried for it, might take a life for it
Put the Bible down and go eye for an eye for it
D.O.T. my enemy, won't catch a vibe for it, ayy
I been stomped out in front of my momma
My daddy commissary made it to commas
Tell 'em, all my grandmas dead
So ain't nobody prayin' for me, I'm on your head, ayy
Thirty millions later, know the feds watchin'
Auntie on my Telegram like, ""Be cautious!""
I be hangin' out at Tam's, I be on Stockton
I don't do it for the 'Gram, I do it for Compton
I'm willin' to die for it
I'll take your life for it
We ain't goin' back to broke, family on the ropes
So all you maney rappers better know
If I gotta check a fake one, I'ma make it look sexy
If I gotta go hard on a b-, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element
I been allergic to buildin' wit' ya
I been allergic to dealin' wit' ya
I've been allergic if it ain't about a million wit' ya
Goin' digital and physical on all y'all, ayy
Bunch of criminals and money in my phone calls, ayy
We okay, we let the A1 fly
Relocate, jump on the same G5
Checkin' for me heavy 'cause I go, yeah, I go, yeah
They never been ready, yeah, I know, yeah, know, yeah
100K spread across the floor, 'cross the floor, yeah
None of y'all f- with the flow yeah, the flow yeah
Years in the makin', and don't y'all mistake it
I got 'em by a landslide, we talkin' about races
You know this'll never be a tie, just look at their laces
You know careers take off, just gotta be patient
Mr. One through Five, that's the only logic
Fake my death, go to Cuba, that's the only option
If I gotta check a fake one, I'ma make it look sexy
If I gotta go hard on a b-, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element
Damned if I do, if I don't (yuh)
Goddamn us all if you won't (yuh)
Damn, damn, damn, it's a goddamn shame
You ain't front line, get out the goddamn way
Oh, they thought they wasn't gonna see me, huh?
Oh, they thought that K-Dot real life was the same life they see on TV, huh?
Oh, y'all wanna flex on me and be in L.A. for free, huh?
Next time they hit the 10 freeway, we need a receipt, huh?
'Cause most of y'all ain't real
Most of y'all gon' squeal
Most of y'all just envy, but jealousy get you killed
Most of y'all throw rocks and try to hide your hand
Just say his name and I promise that you'll see Candyman
Because it's all in your eyes, most of y'all tell lies
Most of y'all don't fade, most of y'all been advised
Last LP I tried to lift the black artists
But it's a difference between black artists and wack artists
If I gotta slap a p-, I'ma make it look sexy
It's the one and only, the world's greatest, the Kid Capri
If I gotta go hard on a b-, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element",audio/04. Kendrick Lamar - ELEMENT..flac
16,"Darling, I","Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"Whatever you do, don't ever tell no bitch you love her
If you don't mean it, don't tell her (check)
Darling, I keep (keep falling in love)
Darling, I keep (keep falling in love)
Da-da, da, I keep (keep falling in love)
forever is too long (c'mon)
Ooh, I got a problem I don't know if I can shake
Oh, they wanna tie me down that bondage just might break
I can't sign the dotted line
Just how long is forever? (It's too long, ah-hoo)
Darling, I keep (keep falling in love)
Darling, I keep (keep falling in love)
Da-da, da, I keep (keep falling in love)
forever is too long (yuh, let that fire, check it, yo)
I drive my Bimmer in the summer when I'm ready to drift
LaFerrari handle better and it's pretty as shit
Feel safe in the Rolls, big boy when I drive
Love em all for different reasons at the same damn time
See monogamy, that shit is not for me
One option for everybody? don't you lie to me
Too many rules I'm too curious to try to be hiding things
Feeling shame build inside of me
Cause honestly, T is not perfect
So how can I get everything from one person?
I'm at the altar but I'm still searching
I'm only human if it ain't work
Things change and nothing stay the same, I believe
that maybe letting go is a beautiful thing
Perfect for the time being y'all ain't do nothing wrong
Life is short but forever is so goddamn long
I like alone time
I'm on my own time
I love this girl though
I hit the gold mine
I'm thinking new crib
I'm thinking two kids
Until I get infatuated with a new bitch
But when that grey hair finally come
At least I felt something if I ain't find the one
Nobody could fulfill me like this music shit does
So I'll be lonely with these Grammys when it's all said and done, c'mon
Darling, I keep (keep falling in love)
Darling, I keep (keep falling in love) (keep falling in love)
Da-da, da, I keep (keep falling in love)
Forever is too long (yeah, keep falling in love)
Yeah, baby
Keep falling (keep falling)
Keep falling (darling, I)
Keep falling (keep falling)
Keep falling (I keep falling down)
Keep falling (come and catch me, please) (oh, baby)
everybody's different, you know
and it's not just sex
i get different things from different people
and i want you to explore too (uh)
Have those moments and experiences (uh)
I don't own you (da-da-da-da-da)
It's not fair to just be stuck with me
Darling (darling, darling), keep falling in love (ooh)
Darling (darling, I keep), keep falling in love
(Da-da-da-da), I'm falling, I'm falling (oh-oh-oh)
Forever, da-da-da (oh, baby)
Keep falling (keep falling)
Keep falling (darling, I)
Keep falling (keep falling)
Keep falling (I)
Keep falling (keep falling down), keep falling
come and catch me please (forever)
Keep falling (is too long), keep falling (forever)
Keep falling (is too long), keep falling (forever)
Keep falling (is too long), keep falling
Transparency is key, be honest","audio/04. Tyler, The Creator - Darling, I.flac"
17,WELTiTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Baby, te vo'a dar una vuelta por la playita
Te vo'a llenar de besitos la carita
Un día conmigo es lo que tú necesita'
Sonriendo tú te ves más bonita
Baby, te vo'a dar una vuelta por la playita
Te vo'a llenar de besitos la carita
Un día conmigo es lo que tú necesita'
Sonriendo tú te ves más bonita
Eh-eh, eh-eh, eh-eh
Baby, yo sé, baby, yo sé
La vida es así, la vida es así
Eh-eh, ey
Pero ponte el traje'e baño, mami, que tе vo'a buscar
Te dejo mojaíta, el sol tе va a secar
Sí, te va a quemar
Tú eres mi canción favorita
Y en repeat te vo'a tocar, ey
Te la vo'a aplicar
Quiero dibujar corazoncitos en la orilla
Tranquila, mami, yo te cargo la silla
Eso' ojitos lindo', me encanta cómo brillan
¿Cómo una diosa puede ser tan sencilla?, ey
Y por un beso de la flaca yo daría lo que fuera (fuera)
Tú me dice' (dice') si adentro o afuera (mami)
Debajo del agua nadie se entera
Baby, te vo'a dar una vuelta por la playita (ja)
Te vo'a llenar de besitos la carita (la carita)
Un día conmigo es lo que tú necesita'
Sonriendo tú te ves más bonita
Baby, te vo'a dar una vuelta por la playita
Te vo'a llenar de besitos la carita
Contigo me siento distinto
Hay algo cuando nos miramo
Y en el pozo nos dimos la mano (y gritamo)
""¡Jacinto!""
Cuando no estoy en la buena
Tú me lleva' a hacer castillos de arena
Y los castillo' se convierten en aldea'
Un pueblito donde no existen problema'
Y ahí soñamos con un futuro
Que estemo bien, no hace falta mucho
Por un segundo nos olvidamos de to
Aquí solo somos tú y yo
Vamo a besarno frente a las ola' (aunque sea de piquito, de piquito)
De piquito pin-pin, pin-pin-pin (vamo a besarno frente a las ola')
Hay mucho' mosquito' en la costa
Baby, vo'a poner un escrín (vamo' a besarno' frente a)
Sudaíta, el sol te da (las ola')
Y eso brilla como blin-blin (vamo' a besarno' frente a las ola')
Vamo a quedarnos por Maya, después te llevo a París
Por eso es que me gusta ir contigo a la playita
Y llenarte de besitos la carita
Y un día juntito' es lo que yo necesito
Sonriendo tú te ves más bonito",audio/05. Bad Bunny - WELTiTA.flac
18,HARRY STAMPER,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Harry Stamper, Armageddon
Yo soy todo por amor honesto
Por amor correcto
Muero, muero por amor
¿Tú morirías por mí?
¿Tú mentirías? Cómplice mía, al fin
Dame fuentes de ti
Ven y convénceme que no era una fachada
Y era real tu mirada
Me jode pensar que yo fui una etapa
Fui una etapa, fui una etapa
Fui una etapa, fui una etapa
Oh, oh, oh, ah, mmm
Fui una etapa, oh, oh, oh
No sé si pueda volverme a enamorar
Luego de ti, ¿qué pasará?
Viajo el mundo solo para buscarte
Y no estás por ningún lugar
Y yo quiero darte lo que falte
Yo me acoplo a ti
Vinos y diamantes
Quiero que te sientes sobre mí
Lento, dentro de mi corazón, al fin
Tan perfecto, con mi cuerpo traducir
Lo que siento, yo te ayudo a conducir
La tormenta, en lo que me puedas convertir
Yo me puedo convertir
¿Y tú lo harías? ¿Te convertirías?
¿Tú morirías por mí?
¿Tú mentirías? Cómplice mía, al fin
Dame fuentes de ti
Ven y convénceme que no era una fachada
Y era real tu mirada
Me jode pensar que yo fui una etapa
Fui una etapa, fui una etapa
Fui una etapa, fui una etapa
Oh, oh, oh, ah
(Fui una etapa, fui una etapa)
(Fui una etapa)",audio/05. HUMBE - HARRY STAMPER.flac
19,FEEL.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
I feel like a chip on my shoulders
I feel like I'm losin' my focus
I feel like I'm losin' my patience
I feel like my thoughts in the basement
Feel like, I feel like you're miseducated
Feel like I don't wanna be bothered
I feel like you may be the problem
I feel like it ain't no tomorrow, fuck the world
The world is endin', I'm done pretendin'
And fuck you if you get offended
I feel like friends been overrated
I feel like the family been fakin'
I feel like the feelings are changin'
Feel like my daughter compromised and jaded
Feel like you wanna scrutinize how I made it
Feel like I ain't feelin' you all
Feel like removin' myself, no feelings involved
I feel for you, I've been in the field for you
It's real for you, right? Shit, I feel like
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin'
I feel niggas been out of pocket
I feel niggas tappin' they pockets
I feel like debated on who the greatest can stop it
I am legend, I feel like all of y'all is peasants
I feel like all of y'all is desperate
I feel like all it take is a second to feel like
Mike Jordan whenever holdin' a real mic
I ain't feelin' your presence
Feel like I'ma learn you a lesson
Feel like only me and the music, though
I feel like your feelin' ain't mutual
I feel like the enemy you should know
Feel like the feelin' of no hope
The feelin' of bad dope
A quarter ounce manipulated from soap
The feelin', the feelin' of false freedom
I'll force-feed 'em the poison that fill 'em up in the prison
I feel like it's just me
Look, I feel like I can't breathe
Look, I feel like I can't sleep
Look, I feel heartless, often off this
Feelin' of fallin', of fallin' apart with
Darkest hours, lost it
Fillin' the void of bein' employed with ballin'
Streets is talkin', fill in the blanks with coffins
Fill up the banks with dollars
Fill up the graves with fathers
Fill up the babies with bullshit
Internet blogs and pulpit, fill 'em with gossip
I feel like this gotta be the feelin' what 'Pac was
The feelin' of an apocalypse happenin'
But nothin' is awkward, the feelin' won't prosper
The feelin' is toxic, I feel like I'm boxin' demons
Monsters, false prophets schemin'
Sponsors, industry promises
Niggas, bitches, honkies, crackers, Compton
Church, religion, token blacks, and bondage
Lawsuit visits, subpoena served in concert
Fuck your feelings, I mean this for imposters
I can feel it, the phoenix sure to watch us
I can feel it, the dream is more than process
I can put a regime that forms a Loch Ness
I can feel it, the scream that haunts our logic
I feel like say somethin', I feel like take somethin'
I feel like skatin' off, I feel like waitin' for 'em
Maybe it's too late for 'em
I feel like the whole world want me to pray for 'em
But who the fuck prayin' for me?
Ain't nobody prayin' for me
Who prayin' for me?
Ain't nobody prayin'",audio/05. Kendrick Lamar - FEEL..flac
20,Hey Jane,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"Always, always, always wear a condom
Don't trust-
hey jane, we got the news and ain't know what to do
i didn't panic i was comforting you
still in shock, but damn, delayed response, is this really true?
if this was bound to happen to me, i'm lucky it's you
hey jane ya hair long and ya legs long
and we can both relate to the fact that our dads gone,
couple good qualities on you we could pass on,
you're not dumb, and your face good and your head strong
hey jane i know my mom would be excited as hell
i know your mom would be excited as well
but people talk so let's pretend we ain't got no one to tell
i know our exes wanna see us in hell this ain't about them tho,
this ain't about kinfolk, this our decision with a small window,
i wanna jump out, but if you wanna stay in the room, i cannot bug out,
time blocking the driveway, i cannot pull out now, i didn't pull out wow
i'm disappointed in me, this ain't like me
how could i be reckless, this ain't my lifestyle,
never had no scare, in my life til now
ain't in the space to raise no got damn child
hey jane, i'm terrified, i'm petrified,
i don't wanna give my freedom up, or sanitize it
this my fault, the results are justified i fucked up
i'm stressed out, i'm dead inside
hey jane, who am i to come bitch and complain?
you gotta deal with all the mental and the physical change
all the heaviest emotions and the physical pain
just to give the kid the man last name? fuck that
our resumes unmet,
the bus stopped at like, we ain't make it to love yet
took a shortcut to forever i'm upset (fuck)
cause we was in the back, no strings with our tongues wet
we haven't boat tripped we haven't argued
we're still learning each other
i don't know all of you (mm-hm)
And you don't know all of me (mm-hm)
how am i to live with?
that is not a good foundation to have kids with
or maybe it is, maybe it's not, just not yet
maybe this is a blessing in disguise and not a regret
look jane, it's your choice at the end of the day
just know i'll support either way, no pressure
hey t, we got the news and i forgot how to breathe
In a panic you was comforting me
damn, what do we do? what are the odds, is this really true?
if it was bound to happen to me i'm lucky it's you
hey t, ya legs long and ya waist thin,
and we can both relate to the fact we got great skin,
you're not dumb, and your energy is a good mood,
a lil weird but overall you're a good dude
hey t, how would you feel if we kept it a secret
it's a voice inside me begging to keep it
i'm 35, and my ovaries might not reset
i don't wanna live my whole life feeling regret
damn, a feeling you could never understand (I can)
you just hope to god i get my period again
i was 24 when... look
i don't wanna go through that experience again
hey t, things happen, no one is wrong
but i don't need the stress, i can do this alone
My mom did it, ya mom did it, this ain't a pride thing,
this a more i'd prefer to have peace of mind thing
i got my own bread i don't need you to buy things
cause my needs don't include your money or status
i can move back to london and avoid any static
between us, no need to make it hard like callous
It's too much on your palate, this is really traumatic
for me, i can raise it by myself i'm dramatic
you see, pushing people out my life is a habit i seethe,
can you crack a window so i can breathe?
hey t, i'm scared too,
it was so hard for me to tell you
to tell truth, i ain't wanna tell me
i look in the mirror like damn i failed me
i'm scared to tell my momma, scared to tell my bitches
scared of all the people who don't know us in our business
scared of all the advice and my intuition
scared of not knowing but too scared to make decisions
said i wouldn't do this again
it's a lose if I lose lil bruh in the end
it's a lose lose if i lose you as a friend
i've been losing myself, it ain't no one to defend me
i got a mini version of myself living in me
you pulling out your hair, i walk around in a frenzy
i'm feeling the resentment anytime you get near me
my body has a clock and i don't know where the end be
emotions is throwing around like a frisbee
my titties getting bigger and I'm craving a ten piece!
t, no matter the decision today
i just want us to be cool either way no pressure","audio/05. Tyler, The Creator - Hey Jane.flac"
21,VeLDÁ,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Bellaquita
Bellaquita
Eh, ey, yo, es Ousi
Yeah-yeah
Dei V, Underwater (bellaquita)
Me diste follow y te di followback
Me diste like y yo te di dos p'atrá
Toma, al otro día me pusiste en los close friends
Eso es lo que tú quieres, ma
Voy pa'l DM, de espalda, de lao o de frente
En toas las fotito' se ve bien
Mami, te lo doy ahora y después también
Subió una story cerca, toy que le llego a pie, еh
Oh, ma, yo quiero que tú seas mi loba
Tú mе tiene' a mí en la cuerda floja
Uoh-oh, si nos vamo underwater, te moja'
Yo te vo'a comer como una lu' roja
Y dale, actívate, ¿que quién va a pagar hoy?
Ma, tú olvídate, tú te vienes, yo voy
Dale, sígueme con ese culo embuste de anime
Ma, de anime
Dale, actívate, ¿que quién va a pagar hoy?
Baby, olvídate, tú te vienes, yo voy
Dale, sígueme, esto e' lo que estaba' buscando
Mi mensaje bellaqueando
Vamo a ver si es verdá, eh
Vamo a ver si es verdá, vamo a ver si es verdá
Vamo a ver si es verdá (verdá)
Bebé, vamo a ver si es verdá (vamo a ver si es verdá)
Baby, tú lo hace' como si supiera'
Hasta tú te pondrías bellaca si con mis ojo' te viera', te viera'
Ey, tú y yo nos vamo a ver, nos vamo a conocer
Vamo a bailar, vamo a beber
A bellaquear, despué a coger
Tú te va' a hookear y esto se va a joder
Vamo a terminar mal, sí
Porque yo soy un problema
Y porque tú tas buena
Pero yo tengo mi nena
La que no suelto, pero tú tas suelta, sí
Pero tú tas suel-, pero-pero tú tas suelta (suelta), ey
Tú eres una pitcher, mami, pero yo me crie en la loma
Tú va' a soñar conmigo después que te la coma
Yo bajo pa tu barrio lowkey en la Tacoma
O si no en la Lambo en una movie cabrona
Ey, chequéate el AP, nunca se va de hora
Por eso ningún culo me ajora, embuste
Estoy que te preño ahora (bellaquita)
Le llegó bien loca como una gringa en La Perla
Baby, te habla Ousi, un placer conocerla
Ando con Bad Bu, con Dei V, tú con tu' girla'
Y no sé si e'la yerba, pero tú tienes
Los ojo' chiquitito', como si fuera Don
Te pasé la lengua como sellando el blunt
Baby, tú te sueltas con el tequi y limón
Eso atrás bien grande, bebé, como una Yukon
Cierra los ojos y piénsame
Yo estoy bebiendo y también quemé
Ella quiere un mensaje que diga: ""Ven""
Yo me paso mirando ese culito en internet
Baby (baby), ese culo es de bichota
Y yo siempre quise ser bichote
Vámono pa onde no se note
Que cuando yo te azote, ey (bebé)
Vamo a ver si es verdá
Vamo a ver si es verdá, vamo a ver si es verdá
Vamo a ver si es verdá, eh-eh
Vamo a ver si es verdá, vamo a ver si es verdá
Baby, tú lo hace' como si supiera'
Hasta tú te pondrías bellaca si con mis ojos te vieras, te viera'
¡¿Qué?!, bebé, a mí me dijeron que tú metes mano
¿Quiénes son?, los que comandan una nueva generación
La liga multiplatino, Bad Bunny, Dei V, Omar Courtz
Tú sabes, lo' ídolos tuyos
Seguramente te estás preguntando cómo lo hacen
Tienen que apretar
Ey, yeh, yeh, ey (¡bum bum!)
Cierra los ojos y piénsame, ey
Yo toy bebiendo y también quemé
Ella quiere un mensaje que diga: ""Ven""
Yo me paso mirando ese culito en internet",audio/06. Bad Bunny - VeLDÁ.flac
22,ASHWAGANDHA,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Sérum para mis ojeras,
con cafeína, son vitaminas.
Vuelvo a la vida,
vuelvo a circular que no dormí ni mierda.
No me funcionó la distracción,
dio reversa y ahora solo pienso en ella.
Qué traición, ¿qué pasó?
Yo solito me doy cuerda,
juego como si no me doliera.
Es normal porque no soy cualquiera.
No puedo negarte,
ni a tu calor.
Cabeza fría y sin condición,
estás creándome una religión,
dueña de mi devoción.
Por ti soy transparente.
Frente a ti, te prometo que soy diferente.
Tú, mi perdición,
mi talón de Aquiles presente.
No me tientes,
que me tienes a tus pies,
desde la vez que me viste de frente.
Empezamos fuerte.
Dame de tu paz,
ashwagandha en la mañana.
Duerme mi ansiedad.
No me dejes irme sin ver,
que yo quiero probar poder.
Tengo que aguantar la tentación,
cuando el tiempo sea correcto,
y cuando quiera Dios.
Protegerte y encargarme de tu emoción,
darte un riñón,
dar CPR a tu corazón.
Y empezar a salir contigo otra vez,
iniciar de cero y vivir cada amanecer.
Y aunque cueste tanto tiempo,
tengo que retroceder.
Si esto representa sanación,
ven, cúrame.
Por ti soy transparente.
Frente a ti, te prometo que soy diferente.
Tú, mi perdición,
mi talón de Aquiles presente.
No me tientes,
que me tienes a tus pies,
desde la vez que me viste de frente.
Empezamos fuerte.
Dame.
Dame de tu paz, ashwagandha.
Ven, nútreme y recarga.
Todo de ti me encanta,
tan tranquilo que mi pecho se calma.
Dame de tu paz, ashwagandha.
Quiero hundirme profundo en tu espalda.
Siento todo contigo,
llegué a despertar
desde que me viste de frente.",audio/06. HUMBE - ASHWAGANDHA.flac
